State,Unemployed,Unemployment rate,Employed,HS diploma,Education Rate,Delinquency rate,Average household income,Slope education rate vs debt,Slope unemployment rate vs debt
United States,7738212,4.9,7738212,58820411,27.5,4.0,81346,3.826923076923066,3.826923076923066
Alabama,127551,5.9,127551,1009593,31.0,9.0,64632
Alaska,25100,6.9,25100,130511,27.7,3.0,93312
Arizona,172915,5.4,172915,1078358,24.3,4.0,74053
Arkansas,53012,3.9,53012,683886,34.7,5.0,61167
California,1044831,5.5,1044831,5260904,20.6,4.0,96961
Colorado,94340,3.3,94340,780033,21.7,3.0,88246
Connecticut,97981,5.1,97981,673220,27.3,3.0,105255
Delaware,21447,4.5,21447,199461,31.1,4.0,81350
District of Columbia,24065,6.1,24065,83367,18.0,5.0,114432
Florida,472941,4.8,472941,4111029,29.2,4.0,72784
Georgia,264096,5.4,264096,1850601,28.1,6.0,75363
Hawaii,20135,2.9,20135,270583,27.8,3.0,95904
Idaho,30577,3.8,30577,289085,27.6,3.0,68006
Illinois,380431,5.8,380431,2287126,26.5,3.0,84561
Indiana,147035,4.4,147035,1486051,34.2,4.0,69612
Iowa,61149,3.6,61149,656680,31.9,3.0,73644
Kansas,59923,4.0,59923,499895,26.6,3.0,73385
Kentucky,103121,5.1,103121,990322,33.3,5.0,64852
Louisiana,128576,6.0,128576,1038591,33.9,7.0,65696
Maine,26243,3.8,26243,317373,33.2,2.0,70392
Maryland,140883,4.4,140883,1030305,25.4,4.0,102402
Massachusetts,140306,3.9,140306,1167098,25.1,2.0,101911
Michigan,241015,5.0,241015,1978662,29.6,3.0,72581
Minnesota,117181,3.9,117181,940315,25.7,2.0,86415
Mississippi,74479,5.8,74479,593422,30.4,7.0,58974
Missouri,140250,4.6,140250,1267813,31.1,4.0,70871
Montana,21638,4.1,21638,207929,29.8,2.0,69308
Nebraska,31093,3.1,31093,330629,27.0,2.0,74586
Nevada,82079,5.7,82079,544288,28.3,4.0,73383
New Hampshire,21298,2.9,21298,264372,28.4,2.0,90910
New Jersey,225268,5.0,225268,1726006,28.2,3.0,105185
New Mexico,62028,6.7,62028,362627,26.4,7.0,64515
New York,468421,4.8,468421,3569454,26.4,3.0,93373
North Carolina,246599,5.1,246599,1765772,26.4,5.0,70544
North Dakota,12760,3.1,12760,131086,27.4,2.0,79185
Ohio,287981,5.0,287981,2654140,33.8,3.0,71456
Oklahoma,88136,4.8,88136,801598,31.6,6.0,66547
Oregon,98262,4.8,98262,657520,23.9,2.0,77460
Pennsylvania,347589,5.4,347589,3183249,36.0,3.0,78053
Rhode Island,28810,5.2,28810,200648,27.7,3.0,81215
South Carolina,114145,5.0,114145,963022,29.5,8.0,67889
South Dakota,13557,3.0,13557,171623,30.8,2.0,71385
Tennessee,147651,4.7,147651,1451602,32.8,6.0,68104
Texas,615054,4.6,615054,4286126,25.1,7.0,80346
Utah,51970,3.4,51970,393484,23.1,2.0,84117
Vermont,11173,3.2,11173,130654,29.9,3.0,75854
Virginia,173511,4.1,173511,1378019,24.5,4.0,93939
Washington,191074,5.3,191074,1101156,22.9,2.0,90315
West Virginia,47620,6.1,47620,524971,40.5,4.0,60164
Wisconsin,125042,4.0,125042,1233220,31.7,3.0,75113
Wyoming,15870,5.3,15870,112932,29.2,2.0,75574
